,Completed_Year,Completed_Month,Completed_Permits
0,2013,1,163
1,2013,2,390
2,2013,3,595
3,2013,4,760
4,2013,5,916
5,2013,6,879
6,2013,7,1119
7,2013,8,1171
8,2013,9,1043
9,2013,10,1594
10,2013,11,1126
11,2013,12,1290
12,2014,1,1411
13,2014,2,1165
14,2014,3,1338
15,2014,4,1497
16,2014,5,1557
17,2014,6,1432
18,2014,7,1406
19,2014,8,1467
20,2014,9,1465
21,2014,10,1624
22,2014,11,1362
23,2014,12,1473
24,2015,1,1395
25,2015,2,1464
26,2015,3,1592
27,2015,4,1498
28,2015,5,1483
29,2015,6,1609
30,2015,7,1618
31,2015,8,1474
32,2015,9,1353
33,2015,10,1689
34,2015,11,1469
35,2015,12,1733
36,2016,1,1443
37,2016,2,1582
38,2016,3,1830
39,2016,4,1693
40,2016,5,1702
41,2016,6,1750
42,2016,7,1584
43,2016,8,1775
44,2016,9,1502
45,2016,10,1670
46,2016,11,1780
47,2016,12,1641
48,2017,1,1349
49,2017,2,1427
50,2017,3,1879
51,2017,4,1507
52,2017,5,1686
53,2017,6,1624
54,2017,7,1434
55,2017,8,1739
56,2017,9,1580
57,2017,10,1955
58,2017,11,1558
59,2017,12,1622
60,2018,1,1652
61,2018,2,1258
